CrimeId,Count,Type,Cleared,LocationId
118,28,3,1,595
119,9,4,0,963
120,23,0,1,283
121,25,2,1,628
122,16,4,0,225
123,6,6,0,72
124,18,6,1,205
125,28,0,0,629
126,26,1,1,786
127,6,4,1,254
128,29,4,1,615
129,29,2,0,761
130,2,0,0,277
131,9,4,0,21
132,15,0,0,833
133,10,0,1,192
134,16,6,1,777
135,18,6,0,763
136,23,3,1,968
137,30,0,1,417
138,23,4,1,989
139,28,1,0,917
140,24,2,1,901
141,4,2,1,789
142,16,0,1,919
143,24,6,0,892
144,5,6,0,69
145,12,4,1,441
146,10,3,1,459
147,11,5,1,616
148,16,4,0,170
149,24,4,0,548
150,27,6,1,635
151,4,0,0,748
152,12,3,0,803
153,11,2,1,407
154,0,1,0,373
155,22,6,0,432
156,25,0,0,557
157,2,5,0,764
158,14,2,0,50
159,6,4,1,355
160,8,5,1,974
161,13,0,0,774
162,9,0,0,15
163,18,0,0,611
164,16,2,1,89
165,21,3,1,102
166,16,3,1,328
167,28,1,0,897
168,7,6,1,647
169,0,1,0,533
170,8,6,0,811
171,9,0,0,918
172,26,0,0,536
173,1,0,1,480
174,25,1,1,807
175,24,1,0,206
176,24,5,1,865
177,2,4,1,197
178,7,2,0,81
179,13,1,0,643
180,8,4,1,233
181,14,1,1,48
182,11,5,1,868
183,26,4,1,882
184,12,2,1,254
185,6,5,1,285
186,25,1,0,618
187,14,2,1,999
188,23,6,0,997
189,16,2,1,296
190,12,4,1,860
191,13,5,1,362
192,1,1,1,845
193,9,5,1,73
194,30,0,1,841
195,9,2,0,135
196,12,1,0,918
197,14,3,0,215
198,28,6,1,322
199,19,1,1,511
200,19,3,1,39
201,17,5,0,208
202,27,2,1,488
203,21,5,1,159
204,23,0,0,239
205,23,5,1,923
206,8,4,0,298
207,27,1,1,788
208,20,6,1,188
209,18,2,1,205
210,1,0,1,413
211,19,6,1,273
212,16,5,1,955
213,3,1,0,898
214,5,1,1,42
215,28,5,1,872
216,12,3,1,881
217,15,1,1,745
218,16,5,1,125
219,22,4,0,632
220,20,0,1,999
221,15,5,1,800
222,18,4,0,604
223,21,2,0,376
224,7,2,0,845
225,11,2,0,764
226,17,2,1,532
227,19,6,1,562
228,9,6,1,148
229,22,5,1,470
230,26,6,1,242
231,7,3,1,834
232,30,1,1,677
233,9,0,0,708
234,9,6,1,270
235,16,2,0,722
236,18,2,1,956
237,17,3,1,64
238,21,3,1,180
239,21,3,1,763
240,15,1,0,94
241,19,3,1,555
242,22,3,0,522
243,20,6,0,377
244,17,1,0,172
245,15,1,0,204
246,14,1,0,980
247,25,4,0,445
248,11,5,0,679
249,20,1,0,268
250,1,3,0,571
251,27,3,0,50
252,11,5,0,894
253,27,5,1,236
254,16,3,1,815
255,18,6,0,526
256,23,3,0,989
257,1,2,0,958
258,26,3,0,628
259,3,2,1,384
260,27,2,1,213
261,15,1,0,974
262,9,4,1,78
263,13,4,1,422
264,7,0,1,52
265,29,3,0,218
266,28,0,0,315
267,23,1,1,732
268,17,6,1,462
269,8,2,1,564
270,3,3,0,926
271,11,3,1,93
272,17,5,0,635
273,27,6,0,809
274,19,2,1,656
275,23,0,1,893
276,3,3,0,323
277,29,5,0,639
278,20,4,0,535
279,18,4,1,627
280,5,1,0,760
281,21,4,0,153
282,30,1,1,582
283,5,4,0,448
284,11,4,0,376
285,19,2,1,569
286,5,6,0,731
287,6,0,1,320
288,17,6,0,701
289,4,1,1,674
290,30,1,1,526
291,19,2,1,165
292,24,0,1,42
293,19,0,1,608
294,26,5,0,790
295,18,0,1,663
296,1,4,0,370
297,20,1,0,689
298,0,0,0,162
299,27,0,0,414
300,30,4,1,442
301,0,1,1,164
302,3,0,1,864
303,8,1,0,763
304,5,4,1,146
305,14,0,0,227
306,24,3,1,650
307,12,1,1,288
308,29,2,0,675
309,17,1,0,758
310,2,6,1,840
311,11,5,0,303
312,19,0,0,252
313,13,1,1,878
314,24,5,0,526
315,27,3,1,80
316,14,0,1,612
317,24,1,0,237
318,26,6,0,730
319,30,2,0,415
320,10,6,1,513
321,15,0,0,563
322,19,0,1,273
323,0,6,0,917
324,12,0,0,944
325,26,5,0,49
326,27,5,0,673
327,20,6,1,550
328,4,1,1,822
329,19,4,1,118
330,25,0,0,716
331,19,2,1,939
332,22,3,0,178
333,27,0,1,142
334,9,5,1,946
335,23,0,0,44
336,0,6,1,3
337,9,5,1,729
338,20,3,0,570
339,14,1,1,405
340,12,1,1,730
341,9,4,1,491
342,26,4,1,654
343,24,2,1,709
344,25,1,1,650
345,3,2,0,674
346,6,1,0,897
347,20,3,0,517
348,23,3,1,582
349,5,4,1,583
350,24,3,0,29
351,11,1,0,638
352,22,0,1,711
353,12,0,1,635
354,2,5,0,312
355,4,0,0,220
356,23,5,0,141
357,16,5,1,685
358,14,4,1,368
359,6,4,0,996
360,26,0,1,592
361,27,4,1,578
362,12,2,0,431
363,22,2,1,234
364,14,6,1,90
365,24,1,1,439
366,14,2,0,728
367,13,6,1,390
368,17,5,1,336
369,17,3,0,189
370,23,2,1,887
371,8,0,0,441
372,12,0,0,807
373,30,6,1,625
374,28,5,1,249
375,27,6,0,678
376,8,5,0,566
377,2,1,1,161
378,30,0,1,700
379,18,6,1,842
380,20,2,0,859
381,3,0,1,547
382,11,0,1,940
383,12,1,0,783
384,12,6,1,910
385,16,5,0,327
386,11,1,1,689
387,18,1,1,540
388,19,4,0,367
389,1,3,0,816
390,24,6,1,59
391,21,1,1,450
392,18,0,1,877
393,19,0,0,930
394,1,1,1,453
395,14,4,0,625
396,21,4,0,852
397,7,0,1,811
398,6,3,0,523
399,19,6,0,101
400,19,1,0,27
401,2,0,1,410
402,26,1,1,811
403,19,4,1,26
404,29,3,1,315
405,30,4,1,806
406,6,5,1,549
407,2,6,0,548
408,6,2,1,536
409,11,6,0,306
410,14,2,0,499
411,3,5,0,110
412,20,1,1,423
413,12,5,0,222
414,6,4,0,329
415,16,0,0,273
416,14,4,0,618
417,6,5,1,451
418,0,1,0,526
419,18,0,0,876
420,2,4,1,165
421,14,0,0,170
422,10,2,0,387
423,28,0,1,445
424,3,0,0,709
425,1,0,0,73
426,20,4,1,732
427,18,5,1,907
428,12,1,0,787
429,4,6,0,501
430,10,6,1,697
431,4,1,1,480
432,19,3,1,514
433,14,5,1,784
434,27,0,1,392
435,10,5,1,95
436,16,1,0,21
437,12,0,0,755
438,30,5,1,123
439,3,1,1,31
440,23,6,1,893
441,16,5,0,526
442,30,5,0,438
443,26,4,1,574
444,8,5,1,291
445,9,2,0,963
446,22,1,0,311
447,9,4,1,799
448,18,3,0,697
449,22,0,1,958
450,15,4,0,563
451,29,6,1,114
452,30,6,1,478
453,6,1,1,614
454,4,0,1,7
455,15,2,1,994
456,3,4,1,107
457,2,3,1,905
458,0,5,0,531
459,30,5,1,550
460,18,2,0,835
461,8,3,0,168
462,12,4,0,328
463,16,1,0,360
464,6,1,0,95
465,19,1,1,899
466,29,4,1,393
467,6,3,1,774
468,3,2,1,272
469,3,5,1,81
470,21,2,0,975
471,18,3,1,966
472,1,6,1,364
473,6,4,1,100
474,19,5,1,508
475,6,2,1,652
476,22,0,1,888
477,13,4,0,151
478,22,2,0,718
479,5,2,1,673
480,16,3,1,898
481,24,5,0,599
482,7,6,0,497
483,17,4,0,492
484,14,3,1,172
485,11,1,0,942
486,6,5,1,628
487,11,0,0,691
488,2,6,0,619
489,2,5,0,330
490,8,6,1,840
491,6,1,1,717
492,9,2,1,303
493,17,2,1,567
494,7,3,1,679
495,8,0,0,201
496,13,2,0,478
497,17,5,1,583
498,5,5,1,192
499,10,1,0,74
500,23,6,1,772
501,8,4,1,327
502,28,5,0,99
503,4,3,1,714
504,29,4,1,677
505,1,2,0,669
506,16,1,0,246
507,18,1,0,724
508,5,6,0,795
509,6,4,1,472
510,30,6,1,44
511,16,0,0,387
512,18,1,1,33
513,16,1,1,844
514,2,1,1,765
515,27,2,1,556
516,8,1,1,976
517,28,3,0,326
518,27,3,1,622
519,12,4,0,587
520,29,5,0,408
521,17,6,0,656
522,23,3,0,498
523,5,3,1,909
524,7,3,1,253
525,2,0,1,641
526,22,6,1,744
527,19,0,1,194
528,10,0,1,450
529,21,6,0,261
530,30,2,1,610
531,13,3,0,890
532,21,1,0,930
533,14,5,0,384
534,4,0,1,523
535,12,2,1,903
536,13,6,0,766
537,30,3,1,939
538,9,5,0,312
539,28,6,0,104
540,0,2,1,381
541,14,0,1,305
542,24,3,1,288
543,5,4,1,434
544,12,4,0,575
545,23,1,0,415
546,4,0,0,79
547,21,2,0,323
548,5,2,0,399
549,26,5,0,240
550,19,4,0,9
551,2,5,0,201
552,11,6,1,884
553,25,1,0,688
554,26,6,1,32
555,9,3,1,114
556,3,4,0,887
557,18,4,0,163
558,2,3,1,333
559,12,0,1,258
560,15,3,0,479
561,6,5,0,147
562,17,1,0,150
563,24,5,0,32
564,11,0,1,884
565,1,0,0,953
566,22,5,0,488
567,13,1,0,269
568,27,6,0,742
569,24,3,0,977
570,6,5,0,193
571,7,4,0,63
572,26,5,0,678
573,21,0,1,458
574,22,2,0,734
575,1,5,1,404
576,28,0,1,323
577,25,1,1,756
578,4,6,1,584
579,14,2,1,979
580,7,0,0,427
581,1,0,1,716
582,21,2,0,43
583,3,2,0,28
584,20,2,0,140
585,29,0,1,247
586,26,0,0,421
587,20,5,0,497
588,22,5,1,125
589,22,6,1,822
590,4,6,0,938
591,18,0,1,578
592,5,6,1,873
593,6,0,1,50
594,5,2,0,634
595,11,1,1,935
596,13,5,1,573
597,0,5,0,308
598,24,2,1,407
599,16,3,0,899
600,0,2,0,400
601,28,1,1,620
602,15,2,1,629
603,20,0,1,252
604,9,3,1,955
605,22,6,0,224
606,18,6,1,598
607,9,3,0,819
608,8,1,0,623
609,16,0,0,25
610,22,4,1,484
611,18,0,0,747
612,29,5,1,855
613,21,5,0,274
614,3,3,0,727
615,15,2,1,579
616,4,5,1,879
617,0,1,1,214
618,3,5,1,107
619,9,0,1,356
620,1,3,0,25
621,24,1,0,400
622,3,2,0,922
623,29,0,0,449
624,22,0,1,884
625,21,5,1,627
626,24,5,0,762
627,14,1,0,171
628,30,0,1,233
629,5,3,1,611
630,20,3,1,882
631,30,2,1,860
632,4,1,0,163
633,20,0,0,430
634,1,3,0,681
635,16,1,1,539
636,13,5,1,820
637,21,3,1,538
638,4,1,0,391
639,21,5,1,276
640,27,6,0,969
641,17,3,1,549
642,6,6,1,100
643,24,0,1,587
644,20,4,0,651
645,15,4,1,309
646,27,4,1,493
647,1,2,0,730
648,16,5,1,717
649,6,2,0,465
650,10,0,0,128
651,30,1,0,73
652,11,5,1,459
653,5,5,1,13
654,2,0,0,319
655,3,1,1,775
656,1,5,0,128
657,17,3,1,505
658,26,1,1,274
659,28,4,0,597
660,15,5,0,923
661,7,0,1,947
662,10,6,1,289
663,14,3,1,145
664,5,0,1,890
665,7,6,0,495
666,10,1,0,353
667,28,4,1,521
668,13,5,1,91
669,29,4,0,197
670,11,5,1,635
671,30,6,0,337
672,18,1,1,885
673,11,5,0,722
674,4,6,0,168
675,18,4,1,568
676,1,6,0,575
677,21,0,1,874
678,29,3,0,429
679,8,1,0,440
680,4,6,0,266
681,30,0,1,94
682,0,1,1,126
683,24,4,1,493
684,11,4,0,208
685,30,2,0,950
686,19,6,1,606
687,23,3,0,346
688,4,5,1,681
689,25,4,1,447
690,22,2,0,883
691,1,6,1,503
692,24,1,1,336
693,15,4,1,891
694,21,5,1,464
695,9,6,0,576
696,10,6,1,999
697,3,4,0,41
698,22,1,1,473
699,14,5,1,229
700,27,5,1,546
701,6,0,1,431
702,8,3,1,587
703,3,5,1,488
704,3,4,0,301
705,12,4,0,233
706,15,6,0,170
707,25,6,1,317
708,28,1,1,421
709,5,0,0,573
710,27,4,1,708
711,17,4,0,194
712,28,2,0,580
713,22,1,0,120
714,23,2,0,695
715,22,4,0,458
716,14,5,0,25
717,25,6,0,360
718,26,1,1,856
719,10,2,1,742
720,1,0,1,60
721,24,0,0,603
722,20,2,1,318
723,12,0,0,31
724,20,3,0,611
725,24,2,0,18
726,6,3,1,938
727,13,1,1,382
728,9,3,0,263
729,20,6,0,299
730,26,4,1,284
731,27,1,0,193
732,3,2,1,130
733,11,0,0,761
734,12,1,0,264
735,3,0,0,457
736,26,1,1,275
737,16,6,0,630
738,13,3,1,316
739,14,6,0,817
740,17,0,1,10
741,4,4,1,209
742,19,2,0,509
743,18,3,0,61
744,18,2,1,707
745,7,5,0,471
746,2,4,0,895
747,4,6,0,277
748,28,5,1,924
749,12,5,0,350
750,0,2,1,471
751,15,1,1,718
752,18,2,1,833
753,17,2,1,341
754,4,1,0,652
755,19,0,1,84
756,9,6,0,261
757,27,3,0,490
758,29,5,1,129
759,23,5,1,279
760,30,6,1,265
761,30,4,1,303
762,1,4,0,2
763,29,6,0,392
764,14,5,0,492
765,5,1,1,354
766,23,4,1,332
767,22,6,0,51
768,15,1,0,684
769,21,1,0,603
770,25,1,0,464
771,20,4,0,23
772,1,1,0,164
773,13,4,0,735
774,9,1,0,146
775,17,0,1,846
776,8,2,1,741
777,6,5,0,674
778,10,6,1,199
779,28,2,1,731
780,11,2,1,789
781,23,1,1,886
782,14,3,1,546
783,14,4,1,665
784,3,5,1,100
785,23,3,1,783
786,27,6,1,885
787,4,6,0,907
788,21,4,0,90
789,26,2,1,133
790,25,3,1,28
791,25,3,1,117
792,2,3,0,863
793,6,0,0,183
794,7,4,1,620
795,24,0,1,161
796,6,4,1,250
797,18,1,1,878
798,10,1,1,521
799,9,4,0,976
800,30,4,0,755
801,21,1,0,62
802,17,2,1,144
803,26,0,0,237
804,7,4,1,248
805,24,0,1,33
806,30,1,1,974
807,3,0,0,880
808,19,5,1,716
809,26,4,0,95
810,3,5,0,489
811,18,1,1,729
812,1,4,1,105
813,26,3,1,694
814,9,1,1,180
815,29,5,1,320
816,9,6,1,240
817,16,1,0,968
818,29,2,0,654
819,24,6,0,469
820,4,5,1,366
821,1,1,1,961
822,20,0,0,70
823,30,6,0,368
824,21,0,1,821
825,13,1,0,252
826,12,2,1,857
827,14,6,0,232
828,10,1,0,898
829,29,0,1,528
830,11,6,1,901
831,15,0,0,923
832,1,6,1,929
833,26,2,1,866
834,6,1,0,610
835,23,4,1,938
836,28,1,1,502
837,15,5,1,21
838,26,0,1,193
839,24,1,0,572
840,9,2,0,975
841,6,0,0,646
842,13,5,0,248
843,22,6,0,956
844,17,3,0,274
845,4,1,0,364
846,15,2,0,749
847,26,6,1,70
848,7,3,1,681
849,0,0,0,449
850,4,4,0,337
851,28,5,0,513
852,25,2,1,793
853,3,5,0,234
854,1,4,1,223
855,19,2,1,292
856,15,6,0,5
857,19,1,1,265
858,16,0,0,678
859,18,4,1,781
860,26,3,0,5
861,5,3,1,308
862,4,1,1,467
863,22,6,1,713
864,6,0,1,53
865,9,5,0,945
866,28,0,0,862
867,1,4,0,941
868,29,4,1,717
869,29,2,0,416
870,29,6,0,853
871,3,2,0,969
872,1,6,1,405
873,9,0,1,348
874,29,2,0,701
875,18,4,1,135
876,19,2,0,574
877,8,0,1,258
878,22,0,0,635
879,0,3,0,471
880,24,0,1,990
881,18,1,0,140
882,8,5,1,294
883,2,1,0,366
884,1,2,0,289
885,7,6,1,856
886,0,4,1,477
887,17,2,1,93
888,15,6,0,636
889,0,2,0,866
890,19,4,1,306
891,19,5,0,980
892,4,2,1,898
893,17,3,1,864
894,15,6,1,296
895,16,5,1,442
896,15,1,1,5
897,15,6,0,314
898,12,3,1,247
899,26,4,0,430
900,9,6,0,836
901,27,1,0,373
902,7,0,1,651
903,7,6,0,206
904,13,3,1,613
905,16,1,0,922
906,26,3,1,604
907,20,4,0,229
908,16,3,0,903
909,25,3,1,89
910,20,4,1,553
911,10,4,1,197
912,16,2,1,72
913,15,5,1,279
914,4,0,1,942
915,21,2,0,146
916,19,4,1,229
917,6,5,1,533
918,6,5,1,510
919,20,1,1,123
920,26,1,1,84
921,7,3,1,581
922,8,6,0,343
923,4,6,1,50
924,0,1,1,526
925,8,1,1,153
926,6,3,1,635
927,4,1,0,758
928,1,0,0,19
929,13,1,0,682
930,5,4,1,265
931,28,1,0,157
932,7,0,0,592
933,3,5,1,127
934,30,1,0,509
935,22,1,0,201
936,17,0,1,504
937,7,1,1,215
938,28,0,1,827
939,25,3,1,8
940,28,3,0,544
941,5,4,0,838
942,3,2,1,566
943,12,0,1,191
944,22,2,0,916
945,7,3,0,711
946,23,3,0,38
947,19,5,1,616
948,29,2,1,229
949,20,5,0,458
950,14,5,1,796
951,16,5,1,391
952,5,4,1,822
953,20,5,0,144
954,10,5,0,30
955,13,5,1,966
956,0,1,1,325
957,22,1,1,257
958,2,2,1,923
959,23,4,1,348
960,26,1,0,130
961,11,6,1,195
962,8,2,0,738
963,26,0,0,41
964,18,5,1,809
965,8,1,1,238
966,7,6,0,814
967,9,6,1,919
968,21,6,0,277
969,26,2,1,553
970,30,3,0,824
971,26,6,0,255
972,29,2,0,25
973,4,3,1,1000
974,29,5,0,899
975,13,0,1,235
976,1,4,0,300
977,15,4,0,577
978,6,2,0,178
979,30,5,1,401
980,4,2,1,383
981,1,3,1,785
982,6,4,1,489
983,4,4,1,885
984,27,5,1,410
985,8,5,0,869
986,24,6,0,719
987,18,6,1,566
988,10,0,0,375
989,30,0,0,158
990,24,0,1,418
991,16,3,0,381
992,18,2,0,491
993,8,5,0,127
994,17,1,1,810
995,17,1,1,999
996,16,2,1,601
997,21,4,1,942
998,22,6,0,540
999,16,0,1,908
1000,30,5,0,285
1001,1,3,1,908
1002,13,3,1,849
1003,26,3,0,847
1004,27,2,1,799
1005,10,2,1,734
1006,21,4,0,279
1007,19,1,0,403
1008,29,1,0,262
1009,6,2,1,580
1010,19,3,0,327
1011,22,6,1,138
1012,4,2,1,158
1013,29,6,0,366
1014,25,1,0,415
1015,24,6,0,955
1016,29,0,1,959
1017,20,5,0,482
1018,29,2,1,964
1019,2,6,0,230
1020,6,0,0,229
1021,9,4,0,851
1022,28,5,1,702
1023,2,2,0,829
1024,24,4,1,172
1025,2,0,0,599
1026,14,3,1,35
1027,0,6,0,477
1028,16,2,1,81
1029,26,6,0,833
1030,23,0,0,467
1031,24,3,1,251
1032,10,1,0,477
1033,10,2,1,665
1034,2,1,1,25
1035,23,2,1,476
1036,30,5,1,336
1037,23,5,1,227
1038,8,2,0,355
1039,12,5,0,825
1040,26,0,0,126
1041,12,6,0,534
1042,9,2,0,394
1043,23,4,0,655
1044,27,0,1,345
1045,27,4,0,580
1046,15,2,1,533
1047,19,0,1,267
1048,7,2,1,636
1049,21,1,0,998
1050,0,4,1,184
1051,27,4,1,789
1052,12,2,1,676
1053,18,6,1,464
1054,27,2,1,433
1055,22,5,1,294
1056,25,1,0,497
1057,4,1,1,517
1058,5,2,0,838
1059,0,5,0,160
1060,22,3,1,121
1061,30,4,0,799
1062,29,3,0,169
1063,4,0,0,349
1064,10,6,1,307
1065,19,4,1,997
1066,18,0,1,669
1067,0,0,0,113
1068,26,2,1,1000
1069,2,4,0,831
1070,28,6,1,933
1071,26,4,0,441
1072,15,6,1,246
1073,2,2,0,466
1074,22,3,1,137
1075,12,2,0,146
1076,30,1,0,614
1077,18,5,0,991
1078,19,5,1,773
1079,6,1,0,763
1080,11,3,0,196
1081,22,1,0,159
1082,4,6,0,524
1083,1,2,1,4
1084,21,4,0,567
1085,4,4,1,831
1086,8,0,1,394
1087,20,0,0,421
1088,23,0,0,516
1089,11,0,0,10
1090,8,3,1,373
1091,24,3,0,274
1092,29,2,1,470
1093,20,0,1,197
1094,11,0,0,92
1095,16,0,1,661
1096,6,1,0,871
1097,30,4,1,964
1098,3,5,1,307
1099,1,3,0,991
1100,1,4,0,735
1101,4,6,0,299
1102,28,2,0,128
1103,26,6,1,11
1104,29,1,0,194
1105,27,3,1,469
1106,13,1,1,14
1107,27,6,1,810
1108,8,3,1,288
1109,1,4,1,402
1110,10,0,0,320
1111,22,4,0,278
1112,4,0,0,176
1113,29,1,0,688
1114,10,1,0,520
1115,10,2,0,879
1116,26,1,0,563
1117,26,4,0,231
1118,6,5,1,472
1119,19,6,1,803
1120,16,2,1,36
1121,5,4,0,233
1122,13,6,1,834
1123,27,1,0,798
1124,5,6,0,86
1125,22,0,1,663
1126,1,5,1,468
1127,25,2,0,731
1128,21,0,1,409
1129,12,5,0,107
1130,26,3,1,979
1131,7,6,1,325
1132,0,2,0,319
1133,5,5,1,680
1134,12,6,1,705
1135,27,2,0,236
1136,10,6,1,161
1137,26,3,1,807
1138,10,6,1,447
1139,21,6,1,292
1140,2,5,1,940
1141,28,0,0,853
1142,24,1,1,516
1143,17,3,1,268
1144,13,6,0,786
1145,14,6,1,511
1146,12,0,0,791
1147,8,4,0,660
1148,18,4,0,51
1149,21,6,1,209
1150,20,6,0,524
1151,9,2,1,462
1152,1,2,0,407
1153,28,4,1,776
1154,20,3,0,828
1155,9,2,1,784
1156,30,6,1,469
1157,4,2,0,1000
1158,14,6,0,426
1159,1,6,0,822
1160,16,6,0,756
1161,21,2,0,418
1162,11,1,1,784
1163,15,0,1,671
1164,10,4,1,786
1165,2,5,0,580
1166,29,5,0,724
1167,22,4,1,44
1168,16,0,1,249
1169,22,1,0,473
1170,7,4,0,641
1171,2,1,0,299
1172,27,4,0,590
1173,28,6,0,732
1174,16,5,0,635
1175,21,2,0,63
1176,23,1,1,417
1177,19,3,0,880
1178,4,6,0,137
1179,1,3,1,531
1180,18,2,1,705
1181,10,2,0,127
1182,4,2,0,678
1183,29,1,1,374
1184,22,1,1,917
1185,15,3,1,548
1186,25,3,0,335
1187,16,1,0,92
1188,11,5,0,996
1189,21,6,0,601
1190,4,1,0,142
1191,28,0,1,863
1192,27,6,1,679
1193,14,4,1,611
1194,8,4,1,221
1195,12,1,1,694
1196,13,6,1,261
1197,29,0,0,183
1198,2,1,0,624
1199,21,3,1,84
1200,14,0,1,611
1201,11,5,0,538
1202,11,3,1,586
1203,15,5,0,530
1204,26,6,0,768
1205,23,0,1,157
1206,17,3,1,715
1207,11,6,0,284
1208,18,0,0,440
1209,22,6,0,540
1210,4,2,1,489
1211,3,1,0,247
1212,25,0,0,102
1213,6,0,1,701
1214,9,0,0,66
1215,20,6,1,924
1216,10,2,0,857
1217,2,1,1,940
1218,20,1,1,901
1219,7,4,0,79
1220,13,1,1,218
1221,29,3,1,465
1222,8,6,0,178
1223,26,3,0,463
1224,20,3,0,863
1225,3,3,0,185
1226,24,0,0,860
1227,24,0,1,726
1228,17,3,1,297
1229,8,4,1,670
1230,8,1,0,490
1231,4,5,0,560
1232,3,4,0,466
1233,15,6,0,180
1234,5,6,0,883
1235,25,1,0,266
1236,3,5,1,506
1237,28,1,0,771
1238,19,2,1,285
1239,27,5,1,346
1240,21,0,0,88
1241,5,0,0,36
1242,18,4,0,223
1243,14,3,0,17
1244,7,1,0,205
1245,9,1,1,584
1246,13,5,1,410
1247,12,4,0,779
1248,3,6,0,479
1249,6,0,1,511
1250,13,2,1,566
1251,18,2,0,242
1252,3,5,0,558
1253,30,0,1,528
1254,30,6,0,39
1255,15,1,1,928
1256,1,5,1,656
1257,29,5,0,132
1258,13,6,0,945
1259,13,2,0,279
1260,10,0,1,92
1261,3,4,1,961
1262,5,2,1,48
1263,12,6,0,856
1264,8,3,0,166
1265,8,3,1,546
1266,10,4,0,681
1267,14,6,1,46
1268,14,5,1,337
1269,15,4,0,425
1270,12,4,1,548
1271,27,5,1,950
1272,23,4,1,645
1273,26,1,1,801
1274,20,2,0,367
1275,18,0,0,240
1276,12,5,1,526
1277,3,3,1,270
1278,20,3,1,321
1279,15,0,1,479
1280,29,3,1,973
1281,2,4,0,2
1282,28,3,0,925
1283,20,5,0,323
1284,10,0,1,954
1285,4,0,1,433
1286,12,2,0,65
1287,18,5,1,683
1288,7,3,1,514
1289,0,5,0,99
1290,25,0,1,812
1291,21,3,1,984
1292,29,4,0,918
1293,26,3,0,209
1294,4,6,1,552
1295,20,5,0,729
1296,30,1,0,177
1297,9,6,0,292
1298,5,2,0,556
1299,17,6,1,100
1300,20,4,0,698
1301,13,4,1,896
1302,13,1,1,89
1303,10,2,0,452
1304,12,3,1,260
1305,12,3,1,851
1306,22,2,1,968
1307,4,1,0,329
1308,20,6,1,629
1309,3,3,1,558
1310,11,1,0,439
1311,3,0,0,444
1312,3,0,1,737
1313,8,1,1,925
1314,4,5,0,726
1315,27,5,1,349
1316,0,6,0,556
1317,24,3,1,394
1318,3,6,0,375
1319,1,3,1,140
1320,21,5,1,485
1321,7,0,1,954
1322,1,5,1,65
1323,14,1,1,486
1324,1,5,0,980
1325,12,1,0,436
1326,26,1,0,272
1327,6,4,0,960
1328,15,6,0,103
1329,10,3,1,524
1330,10,6,0,519
1331,8,6,0,20
1332,20,1,1,931
1333,29,2,1,521
1334,15,3,0,428
1335,22,1,0,252
1336,4,4,1,993
1337,3,1,1,88
1338,26,1,0,492
1339,14,5,1,373
1340,23,2,0,412
1341,25,2,1,182
1342,27,5,1,821
1343,16,2,0,573
1344,6,5,1,2
1345,4,2,0,374
1346,15,1,0,279
1347,27,2,0,550
1348,1,2,1,946
1349,15,1,1,147
1350,4,1,1,992
1351,29,1,1,848
1352,25,6,0,874
1353,19,4,1,723
1354,8,4,1,324
1355,19,6,0,434
1356,21,4,0,486
1357,10,0,0,760
1358,21,4,1,685
1359,17,1,0,410
