RestaurantId,LocationId,Hours,Stars,Category,RestaurantName
22,22,"Monday: 10:0-21:0
Tuesday: 10:0-21:0
Wednesday: 10:0-21:0
Thursday: 10:0-21:0
Friday: 10:0-21:0
Saturday: 10:0-21:0
Sunday: 11:0-19:0",4.0,"Shopping, Books, Mags, Music & Video, Bookstores",Barnes & Noble Booksellers
23,23,"Monday: 11:0-21:0
Tuesday: 11:0-21:0
Wednesday: 11:0-21:0
Thursday: 11:0-21:0
Friday: 11:0-21:0
Saturday: 11:0-21:0
Sunday: Closed",4.0,"Steakhouses, Asian Fusion, Restaurants",Hibachi Express
24,24,"Monday: 11:0-22:0
Tuesday: 11:0-22:0
Wednesday: 10:0-22:0
Thursday: 11:0-20:0
Friday: 11:0-21:0
Saturday: 12:0-21:0
Sunday: 11:0-21:0",2.5,"Restaurants, Italian",Romano's Macaroni Grill
25,25,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",4.0,"Hot Dogs, Restaurants",Super Dog
26,26,"Monday: 8:0-19:0
Tuesday: 8:0-19:0
Wednesday: 8:0-19:0
Thursday: 8:0-19:0
Friday: 8:0-17:0
Saturday: 9:0-13:0
Sunday: Closed",5.0,"Pet Services, Pet Groomers, Pets, Veterinarians",Indian Walk Veterinary Center
27,27,"Monday: 11:0-18:0
Tuesday: 11:0-18:0
Wednesday: 11:0-18:0
Thursday: 11:0-18:0
Friday: 11:0-18:0
Saturday: 11:0-18:0
Sunday: 11:0-18:0",3.0,"Women's Clothing, Accessories, Children's Clothing, Men's Clothing, Adult, Shopping, Fashion",H&M
28,28,"Monday: Closed
Tuesday: Closed
Wednesday: 16:0-22:0
Thursday: 16:0-22:0
Friday: 16:0-23:0
Saturday: 16:0-23:0
Sunday: Closed",4.0,"Restaurants, Japanese, Seafood",The Green Pheasant
29,29,"Monday: 16:0-0:0
Tuesday: 16:0-0:0
Wednesday: 16:0-0:0
Thursday: 12:0-0:0
Friday: 12:0-2:0
Saturday: 11:0-2:0
Sunday: 11:0-0:0",4.0,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants",Bar One
30,30,"Monday: 10:0-0:0
Tuesday: 10:0-0:0
Wednesday: 10:0-0:0
Thursday: 10:0-0:0
Friday: 10:0-1:0
Saturday: 10:0-1:0
Sunday: 10:0-0:0",3.5,"Pizza, Chicken Wings, Sandwiches, Restaurants",Domino's Pizza
31,31,"Monday: 10:0-20:0
Tuesday: 10:0-20:0
Wednesday: 10:0-20:0
Thursday: 10:0-20:0
Friday: 10:0-22:0
Saturday: 9:0-22:0
Sunday: 10:0-20:0",5.0,"Trampoline Parks, Active Life",Altitude Trampoline Park - Boise
32,32,"Monday: Closed
Tuesday: 17:0-21:30
Wednesday: 17:0-1:30
Thursday: 17:0-1:30
Friday: 17:0-0:30
Saturday: 17:0-0:30
Sunday: 17:0-21:30",3.0,"Pizza, Restaurants, Salad, Soup",DeSandro on Main
33,33,"Monday: 0:0-0:0
Tuesday: 10:0-19:0
Wednesday: 10:0-19:0
Thursday: 10:0-19:0
Friday: 10:0-19:0
Saturday: 10:0-17:0
Sunday: 12:0-15:0",4.5,"Dance Wear, Sports Wear, Children's Clothing, Arts & Entertainment, Social Clubs, Performing Arts, Sporting Goods, Shoe Stores, Fashion, Shopping",DanceLine
34,34,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",3.5,"Pizza, Restaurants",Ardmore Pizza
35,35,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",3.0,"Event Planning & Services, Hotels, Hotels & Travel",River 127
36,36,"Monday: 0:0-0:0
Tuesday: Closed
Wednesday: 16:0-22:0
Thursday: 16:0-22:0
Friday: 16:0-19:0
Saturday: 11:0-23:0
Sunday: 11:0-20:0",3.5,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",Craft Hall
37,37,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",2.5,"Restaurants, Burgers",Cheeseburger In Paradise
38,38,"Monday: 0:0-0:0
Tuesday: 10:0-20:0
Wednesday: 10:0-20:0
Thursday: 10:0-20:0
Friday: 10:0-20:0
Saturday: 10:0-20:0
Sunday: 11:0-18:0",2.0,"Mobile Phones, Telecommunications, Electronics, Mobile Phone Accessories, Local Services, Shopping, IT Services & Computer Repair",T-Mobile
39,39,"Monday: 10:0-15:0
Tuesday: 9:30-14:0
Wednesday: 10:0-18:0
Thursday: 10:0-18:0
Friday: 9:30-17:30
Saturday: 9:30-17:30
Sunday: Closed",4.5,"Museums, Kids Activities, Arts & Entertainment, Education, Active Life, Playgrounds, Children's Museums",Edwardsville Children's Museum
40,40,"Monday: 9:0-17:0
Tuesday: 9:0-17:0
Wednesday: 9:0-17:0
Thursday: 9:0-17:0
Friday: 9:0-17:0
Saturday: 9:0-17:0
Sunday: 9:0-17:0",5.0,"Musicians, DJs, Karaoke, Event Planning & Services, Nightlife",Sierra Pro Events
41,41,"Monday: 9:0-18:0
Tuesday: 9:0-18:0
Wednesday: 9:0-18:0
Thursday: 9:0-18:0
Friday: 9:0-18:0
Saturday: 9:0-15:0
Sunday: 9:0-15:0",1.5,"Hair Salons, Hair Extensions, Beauty & Spas, Wigs, Shopping",Diamond Hair Company
42,42,"Monday: 0:0-0:0
Tuesday: 16:0-21:30
Wednesday: 16:0-21:30
Thursday: 16:0-21:30
Friday: 16:0-22:0
Saturday: 16:0-22:0
Sunday: 16:0-21:30",3.0,"Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops",Tony's Restaurant & 3rd Street Cafe
43,43,"Monday: 0:0-0:0
Tuesday: 0:0-0:0
Wednesday: 0:0-0:0
Thursday: 0:0-0:0
Friday: 0:0-0:0
Saturday: 0:0-0:0
Sunday: 0:0-0:0",5.0,"DUI Law, Professional Services, Lawyers, Criminal Defense Law",Stomel Elliot Attorney-At-Law
44,44,"Monday: 0:0-0:0
Tuesday: 9:0-15:0
Wednesday: Closed
Thursday: Closed
Friday: Closed
Saturday: Closed
Sunday: Closed",4.0,"Health & Medical, Beauty & Spas, Laser Hair Removal, Doctors, Hair Removal, Chiropractors, Weight Loss Centers, Sports Medicine, Medical Spas, Skin Care",Bala Better Health
45,45,"Monday: 10:0-20:0
Tuesday: 10:0-20:0
Wednesday: 10:0-20:0
Thursday: 10:0-20:0
Friday: 10:0-21:0
Saturday: 10:0-21:0
Sunday: 11:0-19:0",2.5,"Fashion, Shopping, Department Stores, Furniture Stores, Candle Stores, Home & Garden, Home Decor",Pier 1
46,46,"Monday: 11:0-21:0
Tuesday: 11:0-21:0
Wednesday: 11:0-21:0
Thursday: 11:0-21:0
Friday: 11:0-21:0
Saturday: 11:0-21:0
Sunday: 11:0-21:0",3.0,"Restaurants, Chinese",China Dragon Restaurant
47,47,"Monday: 11:0-1:0
Tuesday: 11:0-1:0
Wednesday: 11:0-1:0
Thursday: 11:0-1:0
Friday: 11:0-1:0
Saturday: 19:0-1:0
Sunday: 19:0-1:0",4.0,"Arts & Entertainment, Music Venues, Internet Service Providers, Nightlife, Food, Coffee & Tea, Jazz & Blues, Professional Services, Internet Cafes",Naked Cyber Cafe & Espresso Bar
48,48,"Monday: 7:0-17:0
Tuesday: 7:0-17:0
Wednesday: 7:0-17:0
Thursday: 7:0-17:0
Friday: 7:0-17:0
Saturday: 7:0-17:0
Sunday: 7:0-17:0",3.5,"Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners",Caviar & Bananas
49,49,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",5.0,"Shipping Centers, Local Services",All In Shipping
50,50,"Monday: Closed
Tuesday: 15:0-20:30
Wednesday: 15:0-20:30
Thursday: 15:0-20:30
Friday: 15:0-20:30
Saturday: 15:0-20:30
Sunday: 15:0-20:30",5.0,"Restaurants, Italian",Core de Roma
51,51,"Monday: 5:0-0:0
Tuesday: 0:0-0:0
Wednesday: 0:0-0:0
Thursday: 0:0-0:0
Friday: 0:0-21:0
Saturday: 6:0-19:0
Sunday: 8:0-19:0",3.0,"Active Life, Fitness & Instruction, Trainers, Gyms, Yoga",Gold's Gym
52,52,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",5.0,"Real Estate Agents, Home Services, Real Estate",Jennie Deckert
53,53,"Monday: 9:0-18:0
Tuesday: 9:0-18:0
Wednesday: 9:0-18:0
Thursday: 9:0-18:0
Friday: 9:0-18:0
Saturday: 9:0-17:0
Sunday: Closed",4.0,"Specialty Food, Bakeries, Food, Health Markets",Breadland Organic Whole Grain Bakery
54,54,"Monday: 0:0-0:0
Tuesday: 10:0-21:0
Wednesday: 10:0-21:0
Thursday: 10:0-21:0
Friday: 10:0-20:0
Saturday: 10:0-18:0
Sunday: 10:0-18:0",5.0,"Coffee & Tea, Cafes, Pets, Restaurants, Pet Adoption, Food",Paws The Cat Cafe
55,55,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",3.0,"Food, Grocery, Convenience Stores",Charlie's Market
56,56,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",3.0,"Hotels, Hotels & Travel, Event Planning & Services",Fairfield Inn & Suites
57,57,"Monday: 0:0-0:0
Tuesday: 7:0-21:0
Wednesday: 7:0-19:0
Thursday: 7:0-19:0
Friday: 7:0-19:0
Saturday: 9:0-20:0
Sunday: 11:0-18:0",3.0,"Vitamins & Supplements, Ice Cream & Frozen Yogurt, Food, Juice Bars & Smoothies, Shopping",Smoothie King
58,58,"Monday: 10:0-21:0
Tuesday: 10:0-21:0
Wednesday: 10:0-21:0
Thursday: 10:0-21:0
Friday: 10:0-21:0
Saturday: 10:0-21:0
Sunday: 11:0-18:0",2.5,"Ophthalmologists, Eyewear & Opticians, Health & Medical, Shopping, Doctors, Optometrists",LensCrafters
59,59,"Monday: 11:30-21:0
Tuesday: 11:30-21:0
Wednesday: 11:30-21:0
Thursday: 11:30-21:0
Friday: 11:30-22:0
Saturday: 4:0-22:0
Sunday: Closed",4.0,"Restaurants, American (New), Italian",Roman Forum
60,60,"Monday: 11:0-22:0
Tuesday: 11:0-22:0
Wednesday: 11:0-22:0
Thursday: 11:0-22:0
Friday: 11:0-3:0
Saturday: 11:0-3:0
Sunday: Closed",4.0,"Restaurants, Pizza",Joe's Pizza
61,61,"Monday: 11:0-22:0
Tuesday: 11:0-22:0
Wednesday: 11:0-22:0
Thursday: 11:0-22:0
Friday: 11:0-22:0
Saturday: 11:0-22:0
Sunday: 11:0-22:0",2.5,"Restaurants, Soup, Seafood, Burgers",Lafitte's Landing Seafood House
62,62,"Monday: 0:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-22:0
Friday: 11:0-19:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",3.5,"Sports Bars, American (New), American (Traditional), Nightlife, Bars, Restaurants",Twin Peaks
63,63,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",2.5,"Gastropubs, Cocktail Bars, Beer Bar, Bars, Restaurants, Nightlife",Village Tap Room
64,64,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",2.0,"Uniforms, Shopping",Educational Outfitters
65,65,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",3.0,"Seafood, Restaurants, Bars, Nightlife, Cocktail Bars, American (New), Pubs",Doc Magrogan's Oyster House - West Chester
66,66,"Monday: 0:0-0:0
Tuesday: 10:0-20:0
Wednesday: 10:0-20:0
Thursday: 10:0-20:0
Friday: 10:0-20:0
Saturday: 10:0-20:0
Sunday: 10:0-20:0",4.0,"Hotels & Travel, Tours, Local Flavor",New Orleans Spirit Tours
67,67,"Monday: 0:0-0:0
Tuesday: 8:30-15:0
Wednesday: 8:30-15:0
Thursday: 8:30-15:0
Friday: 8:30-15:0
Saturday: Closed
Sunday: Closed",5.0,"Local Services, Appliances & Repair",Roy's Appliance Service
68,68,"Monday: 8:30-18:0
Tuesday: 8:30-18:0
Wednesday: 8:30-18:0
Thursday: 8:30-18:0
Friday: 8:30-18:0
Saturday: 9:0-16:0
Sunday: Closed",4.5,"Towing, Hotels & Travel, Automotive, Motorcycle Rental, Motorcycle Gear, Shopping",Big Boyz Toyz Motorcycle Rentals
69,69,"Monday: 10:0-18:0
Tuesday: 10:0-18:0
Wednesday: 10:0-18:0
Thursday: 10:0-18:0
Friday: 10:0-18:0
Saturday: 11:0-17:0
Sunday: Closed",4.0,"Chocolatiers & Shops, Specialty Food, Candy Stores, Food",Sweet Things Chocolates
70,70,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",3.5,"Food, Grocery",Publix Super Market
71,71,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",5.0,"Food Trucks, Food",Mr. Margarita
72,72,"Monday: 0:0-0:0
Tuesday: 10:0-20:0
Wednesday: 10:0-20:0
Thursday: 10:0-20:0
Friday: 10:0-20:0
Saturday: 10:0-20:0
Sunday: 12:0-18:0",1.5,"Shopping, Baby Gear & Furniture, Home Decor, Furniture Stores, Home & Garden",Pottery Barn Kids
73,73,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",1.5,"Banks & Credit Unions, Financial Services",Chase JP Morgan Bank Credit Card Services
74,74,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",2.5,"American (Traditional), Bars, Nightlife, Sports Bars, Restaurants",Sharky's Sports Bar & Grill
75,75,"Monday: Closed
Tuesday: 9:30-19:0
Wednesday: 9:30-19:0
Thursday: 9:30-19:0
Friday: 9:30-19:0
Saturday: 9:30-19:0
Sunday: 10:0-17:0",4.5,"Health & Medical, Personal Care Services, Beauty & Spas, Massage, Nail Salons",Holly Nails & Spa
76,76,"Monday: 0:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-1:0
Thursday: 11:0-2:0
Friday: 11:0-2:0
Saturday: 11:0-2:0
Sunday: 11:0-23:0",4.5,"American (Traditional), Sports Bars, Restaurants, Bars, Nightlife, Steakhouses, Salad, Beer Bar",39 North Taproom & Grill
77,77,"Monday: 6:0-1:0
Tuesday: 6:0-1:0
Wednesday: 6:0-1:0
Thursday: 6:0-1:0
Friday: 6:0-1:0
Saturday: 6:0-1:0
Sunday: 6:0-1:0",2.5,"Food, Grocery",Pathmark
78,78,"Monday: 10:0-18:0
Tuesday: 10:0-18:0
Wednesday: 10:0-18:0
Thursday: 10:0-18:0
Friday: 10:0-18:0
Saturday: 10:0-17:0
Sunday: 12:0-17:0",4.5,"Tabletop Games, Shopping, Sporting Goods",River City Games
79,79,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",3.5,"Italian, Restaurants",Gavi Italian Restaurant
80,80,"Monday: 11:30-22:0
Tuesday: 11:30-23:30
Wednesday: 11:30-23:30
Thursday: 11:30-23:30
Friday: 11:30-23:30
Saturday: 10:0-23:30
Sunday: 10:0-22:0",4.5,"Burgers, Sports Bars, Bars, Lounges, Restaurants, Salad, Wraps, Nightlife, American (New)",Top Shelf Sports Lounge
81,81,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",4.5,"Festivals, Arts & Entertainment",Fishers Freedom Festival
82,82,"Monday: Closed
Tuesday: 15:0-21:0
Wednesday: 15:0-21:0
Thursday: 15:0-21:0
Friday: 13:0-21:0
Saturday: 12:0-21:0
Sunday: 12:0-19:0",4.5,"Food, Beer, Wine & Spirits, Breweries",Bier Brewery and Tap Room
83,83,"Monday: 0:0-0:0
Tuesday: 0:0-0:0
Wednesday: 0:0-0:0
Thursday: 0:0-0:0
Friday: 0:0-0:0
Saturday: 0:0-0:0
Sunday: 0:0-0:0",3.0,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",Wawa
84,84,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",3.5,"Restaurants, Japanese, Sushi Bars, Asian Fusion",Super Sushi Kyo Hin
85,85,"Monday: 6:0-3:0
Tuesday: 6:0-3:0
Wednesday: 6:0-3:0
Thursday: 6:0-3:0
Friday: 6:0-3:0
Saturday: 6:0-3:0
Sunday: 6:0-3:0",4.5,"Keys & Locksmiths, Home Services, Local Services",AM&PM Locksmith
86,86,"Monday: 0:0-0:0
Tuesday: 8:0-14:0
Wednesday: 8:0-14:0
Thursday: 8:0-14:0
Friday: 8:0-14:0
Saturday: 8:0-14:0
Sunday: 8:0-14:0",4.0,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries",Helena Avenue Bakery
87,87,"Monday: 8:0-16:0
Tuesday: 8:0-16:0
Wednesday: 8:0-16:0
Thursday: 8:0-16:0
Friday: 8:0-16:0
Saturday: 8:0-14:0
Sunday: Closed",4.0,"Pet Groomers, Pet Sitting, Pets, Pet Services",K-9 Groom Room
88,88,"Monday: 0:0-0:0
Tuesday: 11:0-21:0
Wednesday: 11:0-21:0
Thursday: 11:0-21:0
Friday: 11:0-23:0
Saturday: 10:30-22:0
Sunday: 10:30-21:0",4.5,"Nightlife, Pubs, Event Planning & Services, Wine Bars, Bars, Gastropubs, Restaurants, Venues & Event Spaces",Copper Vine
89,89,"Monday: 9:0-18:0
Tuesday: 9:0-18:0
Wednesday: 9:0-18:0
Thursday: 9:0-18:0
Friday: 9:0-18:0
Saturday: 9:0-18:0
Sunday: Closed",4.5,"Juice Bars & Smoothies, Restaurants, Fruits & Veggies, Salad, Specialty Food, Food",Fresh Fruits & Salads
90,90,"Monday: 8:0-23:0
Tuesday: 8:0-23:0
Wednesday: 8:0-23:0
Thursday: 8:0-23:0
Friday: 8:0-0:0
Saturday: 8:0-0:30
Sunday: 8:0-23:0",4.5,"Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food",Mike's Ice Cream
91,91,"Monday: 10:0-17:0
Tuesday: 10:0-17:0
Wednesday: 10:0-17:0
Thursday: 10:0-17:0
Friday: 10:0-17:0
Saturday: 10:0-17:0
Sunday: 10:0-17:0",4.5,"Home Decor, Shopping, Antiques, Books, Mags, Music & Video, Home & Garden",Gilley's Antique Mall
92,92,"Monday: 0:0-0:0
Tuesday: 8:0-17:0
Wednesday: 8:0-17:0
Thursday: 8:0-17:0
Friday: 8:0-17:0
Saturday: Closed
Sunday: Closed",4.5,"Towing, Automotive, Body Shops",Iron Horse Auto Body
93,93,"Monday: 11:0-17:0
Tuesday: 11:0-17:0
Wednesday: 11:0-17:0
Thursday: 11:0-17:0
Friday: 11:0-17:0
Saturday: 11:0-17:0
Sunday: Closed",5.0,"Fashion, Shopping, Men's Clothing",James Dant
94,94,"Monday: 0:0-0:0
Tuesday: 0:0-0:0
Wednesday: 0:0-0:0
Thursday: 0:0-0:0
Friday: 0:0-0:0
Saturday: 0:0-0:0
Sunday: 0:0-0:0",5.0,"Restaurants, Italian, Food Trucks, Food",Impasto
95,95,"Monday: 7:0-17:0
Tuesday: 7:0-17:0
Wednesday: 7:0-17:0
Thursday: 7:0-17:0
Friday: 7:0-17:0
Saturday: Closed
Sunday: Closed",3.5,"Masonry/Concrete, Gardeners, Lawn Services, Tree Services, Landscape Architects, Home Services, Contractors, Landscaping",Absolutely Perfect Inc
