RestaurantId,LocationId,Hours,Stars,Category,RestaurantName
16,95,"Monday: Closed
Tuesday: 13:30-22:0
Wednesday: 13:30-22:0
Thursday: 13:30-22:0
Friday: 13:30-23:0
Saturday: 13:30-23:0
Sunday: 13:30-22:0",4.0,Spicy,Tuna Bar
17,477,"Monday: 0:0-0:0
Tuesday: 8:0-17:0
Wednesday: 8:0-17:0
Thursday: 8:0-17:0
Friday: 8:0-17:0
Saturday: 8:0-14:0
Sunday: 0:0-0:0",4.5,Buttery,Arizona Truck Outfitters
18,137,"Monday: 10:0-19:0
Tuesday: 10:0-19:0
Wednesday: 10:0-19:0
Thursday: 10:0-19:0
Friday: 10:0-19:0
Saturday: 10:0-19:0
Sunday: 10:0-19:0",4.0,Creamy,Herb Import Co
19,39,"Monday: 8:0-17:0
Tuesday: 8:0-17:0
Wednesday: 8:0-17:0
Thursday: 8:0-17:0
Friday: 8:0-17:0
Saturday: 9:0-15:0
Sunday: 9:0-12:0",3.5,Spicy,Nifty Car Rental
20,406,"Monday: 11:30-20:30
Tuesday: 11:30-20:30
Wednesday: 11:30-20:30
Thursday: 11:30-20:30
Friday: 11:30-20:30
Saturday: 11:30-20:30
Sunday: Closed",4.5,Sour,BAP
21,511,"Monday: 8:0-18:0
Tuesday: 8:0-18:0
Wednesday: 8:0-18:0
Thursday: 8:0-18:0
Friday: 8:0-18:0
Saturday: 8:0-18:0
Sunday: 10:0-17:0",4.0,Nutty,Roast Coffeehouse and Wine Bar
22,85,"Monday: 10:0-21:0
Tuesday: 10:0-21:0
Wednesday: 10:0-21:0
Thursday: 10:0-21:0
Friday: 10:0-21:0
Saturday: 10:0-21:0
Sunday: 11:0-19:0",4.0,Buttery,Barnes & Noble Booksellers
23,35,"Monday: 11:0-21:0
Tuesday: 11:0-21:0
Wednesday: 11:0-21:0
Thursday: 11:0-21:0
Friday: 11:0-21:0
Saturday: 11:0-21:0
Sunday: Closed",4.0,Cheesy,Hibachi Express
24,270,"Monday: 11:0-22:0
Tuesday: 11:0-22:0
Wednesday: 10:0-22:0
Thursday: 11:0-20:0
Friday: 11:0-21:0
Saturday: 12:0-21:0
Sunday: 11:0-21:0",2.5,Cheesy,Romano's Macaroni Grill
25,474,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",4.0,Moist,Super Dog
26,206,"Monday: 8:0-19:0
Tuesday: 8:0-19:0
Wednesday: 8:0-19:0
Thursday: 8:0-19:0
Friday: 8:0-17:0
Saturday: 9:0-13:0
Sunday: Closed",5.0,Salty,Indian Walk Veterinary Center
27,276,"Monday: 11:0-18:0
Tuesday: 11:0-18:0
Wednesday: 11:0-18:0
Thursday: 11:0-18:0
Friday: 11:0-18:0
Saturday: 11:0-18:0
Sunday: 11:0-18:0",3.0,Crispy,H&M
28,182,"Monday: Closed
Tuesday: Closed
Wednesday: 16:0-22:0
Thursday: 16:0-22:0
Friday: 16:0-23:0
Saturday: 16:0-23:0
Sunday: Closed",4.0,Smokey,The Green Pheasant
29,616,"Monday: 16:0-0:0
Tuesday: 16:0-0:0
Wednesday: 16:0-0:0
Thursday: 12:0-0:0
Friday: 12:0-2:0
Saturday: 11:0-2:0
Sunday: 11:0-0:0",4.0,Savory,Bar One
30,135,"Monday: 10:0-0:0
Tuesday: 10:0-0:0
Wednesday: 10:0-0:0
Thursday: 10:0-0:0
Friday: 10:0-1:0
Saturday: 10:0-1:0
Sunday: 10:0-0:0",3.5,Sour,Domino's Pizza
31,847,"Monday: 10:0-20:0
Tuesday: 10:0-20:0
Wednesday: 10:0-20:0
Thursday: 10:0-20:0
Friday: 10:0-22:0
Saturday: 9:0-22:0
Sunday: 10:0-20:0",5.0,Cheesy,Altitude Trampoline Park - Boise
32,855,"Monday: Closed
Tuesday: 17:0-21:30
Wednesday: 17:0-1:30
Thursday: 17:0-1:30
Friday: 17:0-0:30
Saturday: 17:0-0:30
Sunday: 17:0-21:30",3.0,Crispy,DeSandro on Main
33,328,"Monday: 0:0-0:0
Tuesday: 10:0-19:0
Wednesday: 10:0-19:0
Thursday: 10:0-19:0
Friday: 10:0-19:0
Saturday: 10:0-17:0
Sunday: 12:0-15:0",4.5,Cheesy,DanceLine
34,448,"Monday: 11:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-0:0
Friday: 11:0-1:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",3.5,Salty,Ardmore Pizza
35,86,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",3.0,Crunchy,River 127
36,104,"Monday: 0:0-0:0
Tuesday: Closed
Wednesday: 16:0-22:0
Thursday: 16:0-22:0
Friday: 16:0-19:0
Saturday: 11:0-23:0
Sunday: 11:0-20:0",3.5,Fluffy,Craft Hall
37,974,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",2.5,Crispy,Cheeseburger In Paradise
38,673,"Monday: 0:0-0:0
Tuesday: 10:0-20:0
Wednesday: 10:0-20:0
Thursday: 10:0-20:0
Friday: 10:0-20:0
Saturday: 10:0-20:0
Sunday: 11:0-18:0",2.0,Bitter,T-Mobile
39,321,"Monday: 10:0-15:0
Tuesday: 9:30-14:0
Wednesday: 10:0-18:0
Thursday: 10:0-18:0
Friday: 9:30-17:30
Saturday: 9:30-17:30
Sunday: Closed",4.5,Herbal,Edwardsville Children's Museum
40,817,"Monday: 9:0-17:0
Tuesday: 9:0-17:0
Wednesday: 9:0-17:0
Thursday: 9:0-17:0
Friday: 9:0-17:0
Saturday: 9:0-17:0
Sunday: 9:0-17:0",5.0,Moist,Sierra Pro Events
41,275,"Monday: 9:0-18:0
Tuesday: 9:0-18:0
Wednesday: 9:0-18:0
Thursday: 9:0-18:0
Friday: 9:0-18:0
Saturday: 9:0-15:0
Sunday: 9:0-15:0",1.5,Crunchy,Diamond Hair Company
42,135,"Monday: 0:0-0:0
Tuesday: 16:0-21:30
Wednesday: 16:0-21:30
Thursday: 16:0-21:30
Friday: 16:0-22:0
Saturday: 16:0-22:0
Sunday: 16:0-21:30",3.0,Buttery,Tony's Restaurant & 3rd Street Cafe
43,500,"Monday: 0:0-0:0
Tuesday: 0:0-0:0
Wednesday: 0:0-0:0
Thursday: 0:0-0:0
Friday: 0:0-0:0
Saturday: 0:0-0:0
Sunday: 0:0-0:0",5.0,Tender,Stomel Elliot Attorney-At-Law
44,204,"Monday: 0:0-0:0
Tuesday: 9:0-15:0
Wednesday: Closed
Thursday: Closed
Friday: Closed
Saturday: Closed
Sunday: Closed",4.0,Tangy,Bala Better Health
45,348,"Monday: 10:0-20:0
Tuesday: 10:0-20:0
Wednesday: 10:0-20:0
Thursday: 10:0-20:0
Friday: 10:0-21:0
Saturday: 10:0-21:0
Sunday: 11:0-19:0",2.5,Savory,Pier 1
46,480,"Monday: 11:0-21:0
Tuesday: 11:0-21:0
Wednesday: 11:0-21:0
Thursday: 11:0-21:0
Friday: 11:0-21:0
Saturday: 11:0-21:0
Sunday: 11:0-21:0",3.0,Fiery,China Dragon Restaurant
47,723,"Monday: 11:0-1:0
Tuesday: 11:0-1:0
Wednesday: 11:0-1:0
Thursday: 11:0-1:0
Friday: 11:0-1:0
Saturday: 19:0-1:0
Sunday: 19:0-1:0",4.0,Savory,Naked Cyber Cafe & Espresso Bar
48,567,"Monday: 7:0-17:0
Tuesday: 7:0-17:0
Wednesday: 7:0-17:0
Thursday: 7:0-17:0
Friday: 7:0-17:0
Saturday: 7:0-17:0
Sunday: 7:0-17:0",3.5,Sweet,Caviar & Bananas
49,79,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",5.0,Fruity,All In Shipping
50,8,"Monday: Closed
Tuesday: 15:0-20:30
Wednesday: 15:0-20:30
Thursday: 15:0-20:30
Friday: 15:0-20:30
Saturday: 15:0-20:30
Sunday: 15:0-20:30",5.0,Buttery,Core de Roma
51,267,"Monday: 5:0-0:0
Tuesday: 0:0-0:0
Wednesday: 0:0-0:0
Thursday: 0:0-0:0
Friday: 0:0-21:0
Saturday: 6:0-19:0
Sunday: 8:0-19:0",3.0,Juicy,Gold's Gym
52,491,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",5.0,Rich,Jennie Deckert
53,987,"Monday: 9:0-18:0
Tuesday: 9:0-18:0
Wednesday: 9:0-18:0
Thursday: 9:0-18:0
Friday: 9:0-18:0
Saturday: 9:0-17:0
Sunday: Closed",4.0,Juicy,Breadland Organic Whole Grain Bakery
54,511,"Monday: 0:0-0:0
Tuesday: 10:0-21:0
Wednesday: 10:0-21:0
Thursday: 10:0-21:0
Friday: 10:0-20:0
Saturday: 10:0-18:0
Sunday: 10:0-18:0",5.0,Sweet,Paws The Cat Cafe
55,455,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",3.0,Juicy,Charlie's Market
56,391,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",3.0,Umami,Fairfield Inn & Suites
57,560,"Monday: 0:0-0:0
Tuesday: 7:0-21:0
Wednesday: 7:0-19:0
Thursday: 7:0-19:0
Friday: 7:0-19:0
Saturday: 9:0-20:0
Sunday: 11:0-18:0",3.0,Mild,Smoothie King
58,494,"Monday: 10:0-21:0
Tuesday: 10:0-21:0
Wednesday: 10:0-21:0
Thursday: 10:0-21:0
Friday: 10:0-21:0
Saturday: 10:0-21:0
Sunday: 11:0-18:0",2.5,Fruity,LensCrafters
59,997,"Monday: 11:30-21:0
Tuesday: 11:30-21:0
Wednesday: 11:30-21:0
Thursday: 11:30-21:0
Friday: 11:30-22:0
Saturday: 4:0-22:0
Sunday: Closed",4.0,Tangy,Roman Forum
60,363,"Monday: 11:0-22:0
Tuesday: 11:0-22:0
Wednesday: 11:0-22:0
Thursday: 11:0-22:0
Friday: 11:0-3:0
Saturday: 11:0-3:0
Sunday: Closed",4.0,Gooey,Joe's Pizza
61,647,"Monday: 11:0-22:0
Tuesday: 11:0-22:0
Wednesday: 11:0-22:0
Thursday: 11:0-22:0
Friday: 11:0-22:0
Saturday: 11:0-22:0
Sunday: 11:0-22:0",2.5,Sweet,Lafitte's Landing Seafood House
62,444,"Monday: 0:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-0:0
Thursday: 11:0-22:0
Friday: 11:0-19:0
Saturday: 11:0-1:0
Sunday: 11:0-0:0",3.5,Buttery,Twin Peaks
63,977,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",2.5,Tangy,Village Tap Room
64,441,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",2.0,Buttery,Educational Outfitters
65,169,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",3.0,Sour,Doc Magrogan's Oyster House - West Chester
66,723,"Monday: 0:0-0:0
Tuesday: 10:0-20:0
Wednesday: 10:0-20:0
Thursday: 10:0-20:0
Friday: 10:0-20:0
Saturday: 10:0-20:0
Sunday: 10:0-20:0",4.0,Cheesy,New Orleans Spirit Tours
67,701,"Monday: 0:0-0:0
Tuesday: 8:30-15:0
Wednesday: 8:30-15:0
Thursday: 8:30-15:0
Friday: 8:30-15:0
Saturday: Closed
Sunday: Closed",5.0,Bitter,Roy's Appliance Service
68,416,"Monday: 8:30-18:0
Tuesday: 8:30-18:0
Wednesday: 8:30-18:0
Thursday: 8:30-18:0
Friday: 8:30-18:0
Saturday: 9:0-16:0
Sunday: Closed",4.5,Savory,Big Boyz Toyz Motorcycle Rentals
69,449,"Monday: 10:0-18:0
Tuesday: 10:0-18:0
Wednesday: 10:0-18:0
Thursday: 10:0-18:0
Friday: 10:0-18:0
Saturday: 11:0-17:0
Sunday: Closed",4.0,Creamy,Sweet Things Chocolates
70,898,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",3.5,Fluffy,Publix Super Market
71,226,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",5.0,Moist,Mr. Margarita
72,365,"Monday: 0:0-0:0
Tuesday: 10:0-20:0
Wednesday: 10:0-20:0
Thursday: 10:0-20:0
Friday: 10:0-20:0
Saturday: 10:0-20:0
Sunday: 12:0-18:0",1.5,Dry,Pottery Barn Kids
73,959,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",1.5,Herbal,Chase JP Morgan Bank Credit Card Services
74,116,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",2.5,Crispy,Sharky's Sports Bar & Grill
75,312,"Monday: Closed
Tuesday: 9:30-19:0
Wednesday: 9:30-19:0
Thursday: 9:30-19:0
Friday: 9:30-19:0
Saturday: 9:30-19:0
Sunday: 10:0-17:0",4.5,Nutty,Holly Nails & Spa
76,200,"Monday: 0:0-0:0
Tuesday: 11:0-0:0
Wednesday: 11:0-1:0
Thursday: 11:0-2:0
Friday: 11:0-2:0
Saturday: 11:0-2:0
Sunday: 11:0-23:0",4.5,Salty,39 North Taproom & Grill
77,576,"Monday: 6:0-1:0
Tuesday: 6:0-1:0
Wednesday: 6:0-1:0
Thursday: 6:0-1:0
Friday: 6:0-1:0
Saturday: 6:0-1:0
Sunday: 6:0-1:0",2.5,Smokey,Pathmark
78,798,"Monday: 10:0-18:0
Tuesday: 10:0-18:0
Wednesday: 10:0-18:0
Thursday: 10:0-18:0
Friday: 10:0-18:0
Saturday: 10:0-17:0
Sunday: 12:0-17:0",4.5,Creamy,River City Games
79,128,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",3.5,Juicy,Gavi Italian Restaurant
80,990,"Monday: 11:30-22:0
Tuesday: 11:30-23:30
Wednesday: 11:30-23:30
Thursday: 11:30-23:30
Friday: 11:30-23:30
Saturday: 10:0-23:30
Sunday: 10:0-22:0",4.5,Nutty,Top Shelf Sports Lounge
81,199,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",4.5,Buttery,Fishers Freedom Festival
82,470,"Monday: Closed
Tuesday: 15:0-21:0
Wednesday: 15:0-21:0
Thursday: 15:0-21:0
Friday: 13:0-21:0
Saturday: 12:0-21:0
Sunday: 12:0-19:0",4.5,Frothy,Bier Brewery and Tap Room
83,710,"Monday: 0:0-0:0
Tuesday: 0:0-0:0
Wednesday: 0:0-0:0
Thursday: 0:0-0:0
Friday: 0:0-0:0
Saturday: 0:0-0:0
Sunday: 0:0-0:0",3.0,Chewy,Wawa
84,324,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",3.5,Moist,Super Sushi Kyo Hin
85,568,"Monday: 6:0-3:0
Tuesday: 6:0-3:0
Wednesday: 6:0-3:0
Thursday: 6:0-3:0
Friday: 6:0-3:0
Saturday: 6:0-3:0
Sunday: 6:0-3:0",4.5,Moist,AM&PM Locksmith
86,517,"Monday: 0:0-0:0
Tuesday: 8:0-14:0
Wednesday: 8:0-14:0
Thursday: 8:0-14:0
Friday: 8:0-14:0
Saturday: 8:0-14:0
Sunday: 8:0-14:0",4.0,Sweet,Helena Avenue Bakery
87,718,"Monday: 8:0-16:0
Tuesday: 8:0-16:0
Wednesday: 8:0-16:0
Thursday: 8:0-16:0
Friday: 8:0-16:0
Saturday: 8:0-14:0
Sunday: Closed",4.0,Rich,K-9 Groom Room
88,95,"Monday: 0:0-0:0
Tuesday: 11:0-21:0
Wednesday: 11:0-21:0
Thursday: 11:0-21:0
Friday: 11:0-23:0
Saturday: 10:30-22:0
Sunday: 10:30-21:0",4.5,Creamy,Copper Vine
89,265,"Monday: 9:0-18:0
Tuesday: 9:0-18:0
Wednesday: 9:0-18:0
Thursday: 9:0-18:0
Friday: 9:0-18:0
Saturday: 9:0-18:0
Sunday: Closed",4.5,Crispy,Fresh Fruits & Salads
90,218,"Monday: 8:0-23:0
Tuesday: 8:0-23:0
Wednesday: 8:0-23:0
Thursday: 8:0-23:0
Friday: 8:0-0:0
Saturday: 8:0-0:30
Sunday: 8:0-23:0",4.5,Juicy,Mike's Ice Cream
91,802,"Monday: 10:0-17:0
Tuesday: 10:0-17:0
Wednesday: 10:0-17:0
Thursday: 10:0-17:0
Friday: 10:0-17:0
Saturday: 10:0-17:0
Sunday: 10:0-17:0",4.5,Salty,Gilley's Antique Mall
92,478,"Monday: 0:0-0:0
Tuesday: 8:0-17:0
Wednesday: 8:0-17:0
Thursday: 8:0-17:0
Friday: 8:0-17:0
Saturday: Closed
Sunday: Closed",4.5,Earthy,Iron Horse Auto Body
93,916,"Monday: 11:0-17:0
Tuesday: 11:0-17:0
Wednesday: 11:0-17:0
Thursday: 11:0-17:0
Friday: 11:0-17:0
Saturday: 11:0-17:0
Sunday: Closed",5.0,Buttery,James Dant
94,358,"Monday: 0:0-0:0
Tuesday: 0:0-0:0
Wednesday: 0:0-0:0
Thursday: 0:0-0:0
Friday: 0:0-0:0
Saturday: 0:0-0:0
Sunday: 0:0-0:0",5.0,Tender,Impasto
95,426,"Monday: 7:0-17:0
Tuesday: 7:0-17:0
Wednesday: 7:0-17:0
Thursday: 7:0-17:0
Friday: 7:0-17:0
Saturday: Closed
Sunday: Closed",3.5,Juicy,Absolutely Perfect Inc
96,698,"Monday: 9:0-17:0
Tuesday: 9:0-17:0
Wednesday: 9:0-17:0
Thursday: 9:0-17:0
Friday: 9:0-17:0
Saturday: Closed
Sunday: Closed",3.5,Moist,TKO DJs
97,873,"Monday: 9:0-16:0
Tuesday: 9:0-16:0
Wednesday: 9:0-16:0
Thursday: 9:0-16:0
Friday: 9:0-16:0
Saturday: Closed
Sunday: Closed",4.5,Juicy,Riverview Room
98,833,"Monday: 0:0-0:0
Tuesday: 10:0-21:0
Wednesday: 10:0-21:0
Thursday: 10:0-21:0
Friday: 10:0-21:0
Saturday: 10:0-21:0
Sunday: 11:0-18:0",4.5,Tangy,Silver and Blue Outfitters
99,163,"Monday: 0:0-0:0
Tuesday: 0:0-0:0
Wednesday: 0:0-0:0
Thursday: 0:0-0:0
Friday: 0:0-0:0
Saturday: 0:0-0:0
Sunday: 0:0-0:0",5.0,Smokey,Premier Mortgage Resources
100,17,"Monday: 11:0-14:0
Tuesday: 16:0-21:0
Wednesday: 16:0-21:0
Thursday: 16:0-21:0
Friday: 16:0-22:0
Saturday: 17:30-22:0
Sunday: Closed",3.5,Fruity,Ricardo's Italian Cafe
101,656,"Monday: 9:0-19:0
Tuesday: 9:0-15:30
Wednesday: 9:0-19:0
Thursday: 9:0-15:30
Friday: 9:0-15:0
Saturday: Closed
Sunday: Closed",5.0,Herbal,Cornerstone Physical Therapy Associates
102,303,"Monday: 10:0-18:0
Tuesday: 10:0-18:0
Wednesday: 8:0-21:0
Thursday: 10:0-21:0
Friday: 8:0-21:0
Saturday: 10:0-21:0
Sunday: 10:0-19:0",3.5,Umami,Saks Fifth Avenue
103,903,"Monday: 12:0-22:0
Tuesday: 12:0-22:0
Wednesday: 12:0-22:0
Thursday: 12:0-22:0
Friday: 12:0-23:0
Saturday: 12:0-23:0
Sunday: 12:0-22:0",2.5,Moist,Crafty Crab
104,642,"Monday: 0:0-0:0
Tuesday: Closed
Wednesday: Closed
Thursday: 15:0-20:0
Friday: 12:0-20:0
Saturday: 12:0-20:0
Sunday: 12:0-20:0",4.0,Fluffy,Mahony's Po-Boys & Seafood
105,363,"Monday: 0:0-0:0
Tuesday: 8:0-18:30
Wednesday: 8:0-18:30
Thursday: 8:0-18:30
Friday: 8:0-18:30
Saturday: 8:0-14:0
Sunday: Closed",4.0,Herbal,Taqueria Los Primos
106,423,"Monday: 8:30-18:0
Tuesday: 8:30-18:0
Wednesday: 8:30-18:0
Thursday: 8:30-18:0
Friday: 8:30-18:0
Saturday: 9:0-16:0
Sunday: Closed",3.0,Salty,AIM Mail Center
107,487,"Monday: Closed
Tuesday: 16:0-21:0
Wednesday: 16:0-21:0
Thursday: 16:0-21:0
Friday: 16:0-22:0
Saturday: 16:0-22:0
Sunday: Closed",4.0,Buttery,The Pearl
108,295,"Monday: 0:0-0:0
Tuesday: 8:0-18:0
Wednesday: 8:0-18:0
Thursday: 8:0-18:0
Friday: 8:0-18:0
Saturday: 8:0-18:0
Sunday: Closed",4.0,Dry,Mighty Dustless
109,260,"Monday: 8:0-17:0
Tuesday: 8:0-17:0
Wednesday: 8:0-17:0
Thursday: 8:0-17:0
Friday: 8:0-17:0
Saturday: Closed
Sunday: Closed",4.5,Savory,Swat Pest Control
110,848,"Monday: 9:0-17:0
Tuesday: 9:0-17:0
Wednesday: 9:0-17:0
Thursday: 9:0-17:0
Friday: 9:0-16:0
Saturday: Closed
Sunday: Closed",1.5,Cheesy,Its Sold Here
111,216,"Monday: 16:0-21:0
Tuesday: 16:0-21:0
Wednesday: 16:0-21:0
Thursday: 16:0-21:0
Friday: 16:0-22:0
Saturday: 16:0-22:0
Sunday: 16:0-20:0",4.0,Earthy,Sunset 44 Bistro
112,232,"Monday: 0:0-0:0
Tuesday: 9:0-18:0
Wednesday: 9:0-15:0
Thursday: 9:0-19:0
Friday: 9:0-19:0
Saturday: 9:0-18:0
Sunday: Closed",3.5,Fluffy,America's Best Contacts & Eyeglasses
113,492,"Monday: 0:0-0:0
Tuesday: 9:0-17:0
Wednesday: 9:0-17:0
Thursday: 9:0-17:0
Friday: 9:0-17:0
Saturday: 9:0-17:0
Sunday: 9:0-17:0",4.5,Fiery,Budweiser Brewery Experience
114,537,"Monday: 0:0-0:0
Tuesday: 7:0-22:0
Wednesday: 7:0-21:0
Thursday: 7:0-22:0
Friday: 7:0-22:0
Saturday: 7:0-22:0
Sunday: 7:0-20:0",3.0,Earthy,Jamba Juice
115,103,"Monday: 0:0-0:0
Tuesday: 0:0-0:0
Wednesday: 0:0-0:0
Thursday: 0:0-0:0
Friday: 0:0-0:0
Saturday: 0:0-0:0
Sunday: 0:0-0:0",2.0,Tangy,Walmart Supercenter
116,324,"Monday: 9:0-20:0
Tuesday: 9:0-20:0
Wednesday: 9:0-20:0
Thursday: 9:0-20:0
Friday: 9:0-20:0
Saturday: 9:0-18:0
Sunday: Closed",4.5,Gooey,Walmart Vision & Glasses
117,901,"Monday: 10:0-20:0
Tuesday: 10:0-18:0
Wednesday: 10:0-20:0
Thursday: 10:0-18:0
Friday: 10:0-18:0
Saturday: 10:0-18:0
Sunday: Closed",3.5,Chewy,Mirror Lake Community Library
